"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";
"C2";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";
"C3";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";
"C4";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";
"C5";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";
"C6";"4.7uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C7";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C8";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";
"C9";"10uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";
"D1";"";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";
"J1";"XF2L-0535-1";"XF2L-0535-1";"XF2L-0535-1";"OMRON FPC Connector";"";"";"";"";
"J2";"XF2L-0535-1";"XF2L-0535-1";"XF2L-0535-1";"OMRON FPC Connector";"";"";"";"";
"JP1";"MQ303B";"JP2E";"JP2";"JUMPER";"";"";"";"";
"JP2";"Solenoid";"JP1E";"JP1";"JUMPER";"";"";"";"";
"L1";"10uH";"L-USL2825P";"L2825P";"INDUCTOR, American symbol";"";"";"";"";
"LED1";"LST-C19HE1WT";"LST-C19HE1WT";"LST-C19HE1WT";"";"";"";"";"";
"Q1";"ABM-16MHZ";"ABM-16MHZ";"ABM-16MHZ";"Crystal 16MHz 18pF";"";"";"";"";
"Q2";"";"NPN-TRANSISTOR_SOT23";"SOT23";"NPN TRANSISTOR";"";"";"";"";
"R1";"10K";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R2";"16K";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R3";"20K";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R4";"330";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R5";"2.2K";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R6";"1K";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"R7";"330";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";
"SV1";"";"MA03-2";"MA03-2";"PIN HEADER";"";"";"unknown";"unknown";
"SW1";"LS12T2-T";"LS12T2-T";"LS12T2-T";"Side Switch for hardware reset";"";"";"";"";
"SW2";"EVQ11U09K";"EVQ11U09K";"EVQ11U-09K";"";"";"";"";"";
"SW3";"ESE31L11T";"ESE31L11T";"SWITCH";"Panasonic Detector Switch";"";"";"";"";
"U1";"";"ATMEGA328P_MLFMLF32";"MLF32-PAD";"32-Pin Atmega328 part";"";"";"";"";
"U2";"TPS62200";"TPS62200";"TPS62200";"TI TPS62200 Buck Converter";"";"";"";"";
"X1";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"MOLEX";"22-23-2021";"1462926";"25C3832";
